Date,BTC-USD,GLD,SPY,TLT
2019-01-02,3943.409423828125,121.33000183105469,224.99533081054688,100.55853271484375
2019-01-03,3836.7412109375,122.43000030517578,219.6262969970703,101.70285034179688
2019-01-04,3857.717529296875,121.44000244140625,226.9828643798828,100.52555084228516
2019-01-07,4025.248291015625,121.86000061035156,228.7725372314453,100.22923278808594
2019-01-08,4030.847900390625,121.52999877929688,230.92196655273438,99.96575927734375
2019-01-09,4035.29638671875,122.30999755859375,232.0011444091797,99.80941009521484
2019-01-10,3678.924560546875,121.58999633789062,232.81954956054688,99.16724395751953
2019-01-11,3687.365478515625,121.80000305175781,232.90945434570312,99.55416107177734
2019-01-14,3706.05224609375,122.08999633789062,231.48851013183594,99.18373107910156
2019-01-15,3630.67529296875,121.87999725341797,234.14157104492188,98.8215103149414
2019-01-16,3655.0068359375,122.2699966430664,234.70816040039062,98.92030334472656
2019-01-17,3678.56396484375,122.11000061035156,236.48878479003906,98.94498443603516
2019-01-18,3657.83935546875,121.0199966430664,239.63645935058594,98.42633819580078
2019-01-22,3604.5771484375,121.44999694824219,236.39883422851562,99.09314727783203
2019-01-23,3585.123046875,121.27999877929688,236.89353942871094,99.05198669433594
2019-01-24,3600.865478515625,121.08999633789062,237.01943969726562,99.702392578125
2019-01-25,3599.765869140625,122.86000061035156,239.02496337890625,99.2248764038086
2019-01-28,3470.450439453125,123.29000091552734,237.2082977294922,99.1260986328125
2019-01-29,3448.116943359375,123.9800033569336,236.89353942871094,99.62828063964844
2019-01-30,3486.181640625,124.69000244140625,240.64366149902344,99.55416107177734
2019-01-31,3457.792724609375,124.75,242.75717163085938,100.4103775024414
2019-02-01,3487.9453125,124.5,242.87403869628906,99.80390167236328
2019-02-04,3459.154052734375,123.95999908447266,244.5828094482422,99.35841369628906
2019-02-05,3466.357421875,124.27999877929688,245.6080780029297,99.81211853027344
2019-02-06,3413.767822265625,123.44000244140625,245.28439331054688,99.86164855957031
2019-02-07,3399.4716796875,123.73999786376953,242.946044921875,100.52175903320312
2019-02-08,3666.7802734375,124.20999908447266,243.24281311035156,100.9508056640625
2019-02-11,3648.4306640625,123.5999984741211,243.3777313232422,100.5547103881836
2019-02-12,3653.528564453125,123.86000061035156,246.50738525390625,100.29894256591797
2019-02-13,3632.070556640625,123.37000274658203,247.30772399902344,99.91940307617188
2019-02-14,3616.880859375,124.05999755859375,246.75924682617188,100.48873138427734
2019-02-15,3620.810791015625,124.80000305175781,249.44821166992188,100.6455307006836
2019-02-19,3947.094482421875,126.69999694824219,249.8798828125,100.90128326416016
2019-02-20,3999.820556640625,126.4800033569336,250.38348388671875,100.61249542236328
2019-02-21,3954.1181640625,125.05000305175781,249.49313354492188,99.71315002441406
2019-02-22,4005.526611328125,125.5,251.04010009765625,100.30721282958984
2019-02-25,3882.6962890625,125.37000274658203,251.38172912597656,100.01020050048828
2019-02-26,3854.35791015625,125.58000183105469,251.20191955566406,100.50520324707031
2019-02-27,3851.04736328125,124.69000244140625,251.093994140625,99.36660766601562
2019-02-28,3854.785400390625,123.98999786376953,250.6263427734375,99.0282974243164
2019-03-01,3859.583740234375,121.87999725341797,252.1912078857422,98.11296844482422
2019-03-04,3761.55712890625,121.55999755859375,251.27391052246094,98.8819808959961
2019-03-05,3896.375,121.72000122070312,250.93212890625,99.08866882324219
2019-03-06,3903.942626953125,121.61000061035156,249.4121551513672,99.45246887207031
2019-03-07,3911.484375,121.51000213623047,247.3258056640625,100.09739685058594
2019-03-08,3901.131591796875,122.83999633789062,246.83119201660156,100.51910400390625
2019-03-11,3905.227294921875,122.23999786376953,250.41050720214844,100.2214584350586
2019-03-12,3909.15625,122.9800033569336,251.354736328125,100.9242172241211
2019-03-13,3906.71728515625,123.83999633789062,253.01861572265625,100.73408508300781
2019-03-14,3924.369140625,122.41000366210938,252.856689453125,100.0064697265625
2019-03-15,3960.9111328125,122.97000122070312,254.10604858398438,100.66790771484375
2019-03-18,4032.50732421875,123.04000091552734,255.0272674560547,100.61006164550781
2019-03-19,4071.190185546875,123.37999725341797,255.09054565429688,100.38678741455078
2019-03-20,4087.476318359375,124.18000030517578,254.3226776123047,101.4369125366211
2019-03-21,4029.326904296875,123.68000030517578,257.1953125,101.6601333618164
2019-03-22,4023.96826171875,123.97000122070312,252.24513244628906,103.2394027709961
2019-03-25,3963.070556640625,124.91999816894531,252.05545043945312,103.40480041503906
2019-03-26,3985.080810546875,124.30000305175781,253.93429565429688,103.33032989501953
2019-03-27,4087.066162109375,123.6500015258789,252.60650634765625,104.28124237060547
2019-03-28,4069.107177734375,121.9000015258789,253.56396484375,104.64501190185547
2019-03-29,4098.37451171875,122.01000213623047,255.1627960205078,104.5457992553711
2019-04-01,4158.18310546875,121.52999877929688,258.1888732910156,103.06087493896484
2019-04-02,4879.8779296875,121.9800033569336,258.31524658203125,103.25142669677734
2019-04-03,4973.02197265625,121.80000305175781,258.72174072265625,102.35647583007812
2019-04-04,4922.798828125,122.11000061035156,259.40826416015625,102.64655303955078
2019-04-05,5036.68115234375,121.9800033569336,260.66387939453125,102.77913665771484
2019-04-08,5289.77099609375,122.51000213623047,260.862548828125,102.41449737548828
2019-04-09,5204.95849609375,123.1500015258789,259.52569580078125,102.73773193359375
2019-04-10,5324.5517578125,123.52999877929688,260.41094970703125,102.98625946044922
2019-04-11,5064.48779296875,121.94999694824219,260.3386535644531,102.38135528564453
2019-04-12,5089.5390625,121.83000183105469,262.1001281738281,101.65213012695312
2019-04-15,5067.1083984375,121.5999984741211,261.9284973144531,101.9090347290039
